start,end,label,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz,original_start,original_end,filename
0 days 00:00:00.320000,0 days 00:00:00.340000,answer10,1.1287438,-10.124633,15.781024,0.0546981,-0.0142694935,0.6138962,11.844452,19.52725,29.065308,2.5956757,31.282942,0.04490025,1.6810068,8.2689085,0.08679628,23.12366,347.87985,1010.2962,-5.5881515,1567.5599,232.50658,-26.643242,2750.536,771.6909,-28.711813,0 days 00:01:15.962308976,0 days 00:01:15.982308976,ID57_20ms.csv
0 days 00:00:00.340000,0 days 00:00:00.360000,answer10,1.4211243,-14.041917,17.101463,0.064081155,-0.021670679,0.88713217,24.717255,8.686122,31.693138,3.760956,31.619802,0.023542188,1.0704579,10.331043,1.7207408,22.795126,448.43518,1182.4594,-3.9693959,1683.5361,438.0538,-19.76665,2939.5125,823.63965,-25.600657,0 days 00:01:15.982308976,0 days 00:01:16.002308976,ID57_20ms.csv
0 days 00:00:00.360000,0 days 00:00:00.380000,answer10,1.6185341,-13.858357,14.429843,0.07711726,-0.024666952,0.5499627,30.304482,1.749033,32.539738,1.9051715,31.349157,0.012504679,0.7657737,8.81858,0.63642186,16.886745,454.105,1277.0747,-4.5631313,1709.3906,624.84894,-17.82796,2403.8582,2623.6978,-20.813456,0 days 00:01:16.002308976,0 days 00:01:16.022308976,ID57_20ms.csv
0 days 00:00:00.380000,0 days 00:00:00.400000,answer10,1.5965012,-13.486198,16.404594,0.092889704,-0.023185546,0.58958775,28.651705,1.9175984,36.020863,1.385291,30.696548,0.0037415742,0.2943405,5.7517295,-3.7087944,14.523572,408.24976,1167.598,-5.1926837,1700.8375,661.23413,-25.347443,2168.6204,2825.2483,-22.018648,0 days 00:01:16.022308976,0 days 00:01:16.042308976,ID57_20ms.csv
0 days 00:00:00.400000,0 days 00:00:00.420000,answer10,1.2252477,-15.300366,20.609869,0.07642973,-0.027549671,1.0355486,24.024826,11.844238,34.093754,0.8699262,30.614614,0.0124174515,0.84772205,1.3213568,-2.0184228,13.59697,411.03452,1073.2845,-3.7735512,1747.1177,506.90463,-22.440565,2309.2886,2821.7148,-20.20704,0 days 00:01:16.042308976,0 days 00:01:16.062308976,ID57_20ms.csv
0 days 00:00:00.420000,0 days 00:00:00.440000,answer10,0.6006866,-16.659094,20.79291,0.052379232,-0.028765766,0.8425124,22.216696,17.20639,31.59052,4.9983315,31.362406,0.018613843,2.4568024,-0.038348835,0.9482896,17.573524,386.94995,1082.2056,1.2502131,1700.1019,474.8381,-15.812507,2657.841,1824.8268,-16.32331,0 days 00:01:16.062308976,0 days 00:01:16.082308976,ID57_20ms.csv
0 days 00:00:00.440000,0 days 00:00:00.460000,answer10,0.39691433,-13.615836,16.55047,0.056797337,-0.028627649,0.30433035,20.474043,11.127124,22.0395,-0.52022433,0.0,0.0,0.0,0.0,0.0,0.0,370.40308,1139.8425,-133.33922,1662.4434,653.2236,-137.38882,2423.9521,1136.4562,-138.35579,0 days 00:01:16.082308976,0 days 00:01:16.102308976,ID57_20ms.csv
0 days 00:00:00.460000,0 days 00:00:00.480000,answer10,0.7403752,-4.2849593,8.292256,0.06314037,-0.02184093,0.35083747,11.545497,-2.866906,8.090379,-9.063465,0.0,0.0,0.0,0.0,0.0,0.0,553.6187,1179.285,-201.0,1706.452,744.96265,-140.51985,2564.923,1044.5157,-138.26941,0 days 00:01:16.102308976,0 days 00:01:16.122308976,ID57_20ms.csv
0 days 00:00:00.480000,0 days 00:00:00.500000,answer10,0.8732938,3.4976187,5.4517426,0.053282097,-0.004325123,0.42157617,4.2542553,-6.0058923,20.20373,13.139175,29.019487,0.0,0.0,4.568994,-0.84829044,19.042501,785.2183,697.9136,-36.376923,1861.9913,768.4658,-24.332344,2963.2249,534.70636,-29.89823,0 days 00:01:16.122308976,0 days 00:01:16.142308976,ID57_20ms.csv
0 days 00:00:00.500000,0 days 00:00:00.520000,answer10,0.66429454,-14.314186,22.988321,0.030864855,-0.011657356,0.6300753,21.974066,9.694272,27.197922,21.243004,29.006485,0.0,0.0,8.945953,1.8083762,34.486557,611.43933,920.0229,-17.822384,1704.0614,919.16,-37.296844,2592.4456,879.9749,-41.500713,0 days 00:01:16.142308976,0 days 00:01:16.162308976,ID57_20ms.csv
0 days 00:00:00.520000,0 days 00:00:00.540000,answer10,0.70787233,-26.952065,33.958134,0.06846926,-0.025976786,0.6455317,37.216496,21.59107,26.148865,17.196684,28.793549,0.031340595,2.1448262,9.979154,3.6672866,36.19263,419.98477,1248.8688,-9.215695,1605.7549,1430.4442,-42.503693,2234.623,1123.9186,-41.741043,0 days 00:01:16.162308976,0 days 00:01:16.182308976,ID57_20ms.csv
0 days 00:00:00.540000,0 days 00:00:00.560000,answer10,0.717628,-32.09289,39.765858,0.06398042,-0.03299421,0.2794937,40.87692,29.013327,24.626928,13.749027,28.628424,0.009869459,0.7079871,10.140683,4.0442586,41.032444,623.38556,1259.8282,-21.280937,1847.6791,1065.0057,-41.33322,2982.746,960.3614,-46.499805,0 days 00:01:16.182308976,0 days 00:01:16.202308976,ID57_20ms.csv
0 days 00:00:00.560000,0 days 00:00:00.580000,answer10,0.70203036,-31.582277,40.582096,0.06679725,-0.03250234,0.23869364,41.38152,27.162878,26.439087,13.963516,28.44314,0.0068986737,0.23619455,9.730293,4.2369847,42.72554,639.3653,1210.5399,-26.214937,1888.8212,681.4299,-41.13525,3199.3174,677.129,-48.297016,0 days 00:01:16.202308976,0 days 00:01:16.222308976,ID57_20ms.csv
0 days 00:00:00.580000,0 days 00:00:00.600000,answer10,0.680806,-31.774338,40.170395,0.056328848,-0.032366704,0.41469893,41.13414,27.565641,25.915716,16.776731,28.118174,0.009487853,0.40300503,8.705169,2.3263094,38.787388,610.6994,1270.3667,-29.861383,1839.4188,771.25854,-37.82079,2982.5457,792.46405,-45.148224,0 days 00:01:16.222308976,0 days 00:01:16.242308976,ID57_20ms.csv
